,uris,names,artist_names,artist_uris,artist_pop,artist_genres,albums,track_pop,danceability,energy,keys,loudness,modes,speechiness,acousticness,instrumentalness,liveness,valences,tempos,types,ids,track_hrefs,analysis_urls,durations_ms,time_signatures,playlist_name
40,48UKTR66uUOT9LaUvooTNx,The Kind of Love We Make,Luke Combs,718COspgdWOnwOFpJHRZHS,81,"['contemporary country', 'country']",Growin' Up,82,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,audio_features,48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/tracks/48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/audio-analysis/48UKTR66uUOT9LaUvooTNx,224427,4,Hot Hits Australia
41,1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,33NVpKoXjItPwUJTMZIOiY,75,['gen z singer-songwriter'],Daylight,94,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,audio_features,1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,212954,4,Hot Hits Australia
42,3YgtkOxZsTuaZdL8McA1FQ,adore u,Fred again..,4oLeXFyACqeem2VImYeBFe,75,"['edm', 'house', 'stutter house']",adore u,83,0.747,0.867,0,-7.311,1,0.088,0.582,0.00413,0.114,0.684,124.015,audio_features,3YgtkOxZsTuaZdL8McA1FQ,https://api.spotify.com/v1/tracks/3YgtkOxZsTuaZdL8McA1FQ,https://api.spotify.com/v1/audio-analysis/3YgtkOxZsTuaZdL8McA1FQ,220653,4,Hot Hits Australia
43,59uQI0PADDKeE6UZDTJEe8,Last Night,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,85,['contemporary country'],3 Songs At A Time Sampler,86,0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,audio_features,59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/tracks/59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8,163855,4,Hot Hits Australia
44,741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,84,"['hip pop', 'pop', 'queens hip hop', 'rap']",Barbie World (with Aqua) [From Barbie The Album],89,0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,audio_features,741UUVE2kuITl0c6zuqqbO,https://api.spotify.com/v1/tracks/741UUVE2kuITl0c6zuqqbO,https://api.spotify.com/v1/audio-analysis/741UUVE2kuITl0c6zuqqbO,109750,4,Hot Hits Australia
45,5w40ZYhbBMAlHYNDaVJIUu,Chemical,Post Malone,246dkjvS1zLTtiykXe5h60,86,"['dfw rap', 'melodic rap', 'pop', 'rap']",Chemical,87,0.498,0.897,2,-4.907,1,0.045,0.00136,0.0,0.118,0.373,169.902,audio_features,5w40ZYhbBMAlHYNDaVJIUu,https://api.spotify.com/v1/tracks/5w40ZYhbBMAlHYNDaVJIUu,https://api.spotify.com/v1/audio-analysis/5w40ZYhbBMAlHYNDaVJIUu,184013,4,Hot Hits Australia
46,3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,86,"['classic oklahoma country', 'modern country pop']",Something in the Orange,90,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3,Hot Hits Australia
47,7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,82,['pop'],Endless Summer Vacation,92,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,audio_features,7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,200600,4,Hot Hits Australia
48,3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,2uYWxilOVlUdk4oV9DvwqK,81,"['brooklyn indie', 'pov: indie']",The Land Is Inhospitable and So Are We,97,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,audio_features,3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,137773,4,Hot Hits Australia
49,2FDTHlrBguDzQkp7PVj16Q,Sprinter,Dave,6Ip8FS7vWT1uKkJSweANQK,77,['uk hip hop'],Sprinter,92,0.916,0.583,1,-8.067,1,0.241,0.186,0.0,0.0798,0.661,141.095,audio_features,2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/tracks/2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/audio-analysis/2FDTHlrBguDzQkp7PVj16Q,226383,4,Hot Hits Australia
